City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cabo San Lucas,MX,82.81,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
3,Kapaa,US,73.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Sao Filipe,CV,77.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
5,Rikitea,PF,73.65,clear sky,-23.1203,-134.9692,People ThankYou
7,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
8,Mayo,US,78.04,broken clouds,38.8876,-76.5119,Resorts Resource Group International
11,Torbay,CA,65.75,broken clouds,47.6666,-52.7314,Gallows Cove
13,Naze,JP,76.5,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
15,Khani,GE,76.57,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
16,Bethel,US,73.49,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
18,Zomba,MW,78.8,scattered clouds,-15.386,35.3188,Trout Farm Campsite
19,Bambous Virieux,MU,70.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
20,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
22,Moindou,NC,67.95,broken clouds,-21.6924,165.677,Gite de la RYAWA
23,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
25,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
27,Pandan,PH,81.03,few clouds,14.0453,124.1694,Bonifacio Lodge
31,Makakilo City,US,73.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
32,Saint-Joseph,RE,76.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
34,Albany,US,72.0,overcast clouds,42.6001,-73.9662,
35,Sysert,RU,76.98,overcast clouds,56.4953,60.8192,кашино
36,Auki,SB,77.13,overcast clouds,-8.7676,160.7034,Auki Motel
39,Katiola,CI,83.03,broken clouds,8.1333,-5.1,Auberge Residence Yebin
40,Kununurra,AU,73.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
42,Avarua,CK,73.45,light intensity drizzle,-21.2078,-159.775,Paradise Inn
48,Antalaha,MG,73.49,light rain,-14.9003,50.2788,Hotel Vitasoa
50,Hilo,US,73.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
57,Faanui,PF,80.74,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Bisho,ZA,68.63,clear sky,-32.8472,27.4422,Bisho Park bnb
65,Tortoli,IT,80.42,scattered clouds,39.9256,9.6572,Hotel La Bitta
