City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Conde,BR,2021-06-23 15:54:09,-7.2597,-34.9075,83.66,58,75,13.8
1,Conde,BR,2021-06-23 15:54:09,-7.2597,-34.9075,83.66,58,75,13.8
2,Rikitea,PF,2021-06-23 16:01:24,-23.1203,-134.9692,75.52,73,17,10.87
3,Hermanus,ZA,2021-06-23 15:59:01,-34.4187,19.2345,54.9,71,96,7.63
4,Bengkulu,ID,2021-06-23 16:01:26,-3.8004,102.2655,75.51,90,100,5.32
5,Busselton,AU,2021-06-23 16:01:28,-33.65,115.3333,50.04,79,42,6.55
6,Fuerte Olimpo,PY,2021-06-23 16:01:29,-21.0415,-57.8738,91.45,35,78,14.2
7,San Quintin,MX,2021-06-23 16:01:29,30.4833,-115.95,67.57,83,55,8.41
8,Ipameri,BR,2021-06-23 16:01:30,-17.7219,-48.1597,85.24,29,6,7.81
9,Kruisfontein,ZA,2021-06-23 16:01:31,-34.0033,24.7314,58.89,80,44,13.2
10,Georgetown,MY,2021-06-23 16:01:32,5.4112,100.3354,82.89,81,20,0.0
11,Salalah,OM,2021-06-23 16:01:33,17.0151,54.0924,80.13,81,64,6.98
12,Arraial Do Cabo,BR,2021-06-23 16:01:34,-22.9661,-42.0278,71.26,68,60,11.65
13,Albany,US,2021-06-23 16:01:35,42.6001,-73.9662,69.73,46,1,9.62
14,Mar Del Plata,AR,2021-06-23 16:00:29,-38.0023,-57.5575,57.99,59,87,11.01
15,Thompson,CA,2021-06-23 16:01:36,55.7435,-97.8558,62.64,52,80,13.0
16,Jamestown,US,2021-06-23 16:01:36,42.097,-79.2353,68.29,48,38,1.99
17,Barrow,US,2021-06-23 16:01:37,71.2906,-156.7887,41.02,81,75,4.61
18,Hithadhoo,MV,2021-06-23 16:01:37,-0.6,73.0833,82.74,72,54,14.38
19,La Asuncion,VE,2021-06-23 16:01:38,11.0333,-63.8628,76.73,100,100,11.5
20,Santa Fe,AR,2021-06-23 16:01:38,-31.6333,-60.7,59.0,94,92,4.0
21,Isangel,VU,2021-06-23 16:01:39,-19.55,169.2667,70.02,69,18,15.9
22,Diffa,NE,2021-06-23 16:01:40,13.3154,12.6113,98.44,25,84,5.55
23,Tuktoyaktuk,CA,2021-06-23 16:01:40,69.4541,-133.0374,38.59,85,80,4.21
24,Qaanaaq,GL,2021-06-23 16:01:41,77.484,-69.3632,47.17,45,100,8.77
25,Te Anau,NZ,2021-06-23 16:01:42,-45.4167,167.7167,43.5,92,100,4.47
26,Hilo,US,2021-06-23 16:01:42,19.7297,-155.09,71.26,84,85,3.0
27,Sobolevo,RU,2021-06-23 16:01:43,54.4299,31.8996,84.67,69,71,3.71
28,Oistins,BB,2021-06-23 16:01:43,13.0667,-59.5333,82.53,65,95,15.12
29,Tasiilaq,GL,2021-06-23 16:01:44,65.6145,-37.6368,44.76,73,94,2.21
30,Punta Arenas,CL,2021-06-23 16:01:44,-53.15,-70.9167,39.11,86,93,0.36
31,Ushuaia,AR,2021-06-23 15:58:08,-54.8,-68.3,37.06,87,75,2.3
32,Kaminskiy,RU,2021-06-23 16:01:45,57.1516,41.4732,84.02,63,13,1.23
33,Yerbogachen,RU,2021-06-23 16:01:45,61.2767,108.0108,61.16,92,100,4.0
34,Alofi,NU,2021-06-23 16:01:47,-19.0595,-169.9187,75.69,71,94,13.06
35,Partenit,UA,2021-06-23 16:01:50,44.578,34.3446,73.4,86,100,3.4
36,Hambantota,LK,2021-06-23 16:01:51,6.1241,81.1185,82.74,89,20,8.05
37,Bom Jesus,BR,2021-06-23 16:01:52,-9.0744,-44.3586,91.53,32,38,7.2
38,Mataura,NZ,2021-06-23 16:01:55,-46.1927,168.8643,42.48,96,100,3.22
39,Baker City,US,2021-06-23 16:01:56,44.7749,-117.8344,72.82,45,1,2.04
40,Atuona,PF,2021-06-23 16:01:58,-9.8,-139.0333,78.15,78,23,11.36
41,Esmeralda,CU,2021-06-23 16:01:59,21.8525,-78.1169,88.18,58,30,10.71
42,Fortuna,US,2021-06-23 16:02:00,40.5982,-124.1573,56.66,92,90,0.0
43,Avarua,CK,2021-06-23 16:01:15,-21.2078,-159.775,73.89,68,100,3.76
44,Basco,PH,2021-06-23 16:02:02,20.4487,121.9702,78.39,87,100,14.54
45,Namwala,ZM,2021-06-23 16:02:03,-15.7504,26.4384,68.25,36,19,3.44
46,Puerto Ayora,EC,2021-06-23 16:02:07,-0.7393,-90.3518,73.54,89,84,5.01
47,Yellowknife,CA,2021-06-23 16:00:25,62.456,-114.3525,48.56,61,30,10.0
48,Chabahar,IR,2021-06-23 16:01:40,25.2919,60.643,85.87,74,1,9.31
49,New Norfolk,AU,2021-06-23 16:02:23,-42.7826,147.0587,51.75,84,94,2.06
50,Talnakh,RU,2021-06-23 16:02:26,69.4865,88.3972,50.18,69,60,4.7
51,Tambopata,PE,2021-06-23 16:02:28,-12.7333,-69.1833,85.42,51,38,4.7
52,Vaini,TO,2021-06-23 16:02:29,-21.2,-175.2,68.47,83,100,26.42
53,Bluff,NZ,2021-06-23 16:01:17,-46.6,168.3333,42.8,82,100,14.5
54,Ponta Do Sol,PT,2021-06-23 16:02:31,32.6667,-17.1,72.23,68,15,4.92
55,Yulara,AU,2021-06-23 16:02:32,-25.2406,130.9889,44.96,58,0,6.73
56,Cimislia,MD,2021-06-23 16:02:32,46.52,28.7842,87.94,55,9,6.62
57,Padang,ID,2021-06-23 16:01:22,-0.9492,100.3543,73.45,82,39,5.14
58,Laguna,US,2021-06-23 16:02:34,38.421,-121.4238,74.14,66,1,5.01
59,Mahebourg,MU,2021-06-23 16:02:39,-20.4081,57.7,68.25,60,3,15.93
60,Los Llanos De Aridane,ES,2021-06-23 16:02:46,28.6585,-17.9182,71.35,70,75,14.97
61,Saint George,US,2021-06-23 16:02:52,37.1041,-113.5841,93.67,18,1,4.0
62,Cape Town,ZA,2021-06-23 15:59:26,-33.9258,18.4232,59.11,83,75,1.01
63,Hohhot,CN,2021-06-23 16:01:31,40.8106,111.6522,68.7,70,100,3.13
64,Egvekinot,RU,2021-06-23 16:00:34,66.3167,-179.1667,46.29,65,5,6.58
65,Road Town,VG,2021-06-23 16:02:56,18.4167,-64.6167,84.2,76,37,18.63
66,Adrar,MR,2021-06-23 16:03:00,20.5022,-10.0711,104.56,9,24,15.32
67,Norman Wells,CA,2021-06-23 16:03:01,65.282,-126.8329,65.41,47,82,5.59
68,Bonthe,SL,2021-06-23 16:03:03,7.5264,-12.505,83.23,73,99,7.58
69,Kabompo,ZM,2021-06-23 16:03:08,-13.5927,24.2008,68.23,35,32,0.43
70,Asosa,ET,2021-06-23 16:03:09,10.0667,34.5333,63.68,88,32,3.0
71,Xining,CN,2021-06-23 16:01:35,36.6167,101.7667,65.53,55,99,5.3
72,Sao Mateus,BR,2021-06-23 16:03:11,-18.7161,-39.8589,81.05,46,20,12.12
73,Manzanillo,CU,2021-06-23 16:03:12,20.3433,-77.1167,85.95,67,76,4.9
